code,name,region_name,region
101,København,Hovedstaden,1
147,Frederiksberg,Hovedstaden,1
151,Ballerup,Hovedstaden,1
153,Brøndby,Hovedstaden,1
155,Dragør,Hovedstaden,1
157,Gentofte,Hovedstaden,1
159,Gladsaxe,Hovedstaden,1
161,Glostrup,Hovedstaden,1
163,Herlev,Hovedstaden,1
165,Albertslund,Hovedstaden,1
167,Hvidovre,Hovedstaden,1
169,Høje Taastrup,Hovedstaden,1
173,Lyngby-Taarbæk,Hovedstaden,1
175,Rødovre,Hovedstaden,1
183,Ishøj,Hovedstaden,1
185,Tårnby,Hovedstaden,1
187,Vallensbæk,Hovedstaden,1
190,Furesø,Hovedstaden,1
201,Allerød,Hovedstaden,1
210,Fredensborg,Hovedstaden,1
217,Helsingør,Hovedstaden,1
219,Hillerød,Hovedstaden,1
223,Hørsholm,Hovedstaden,1
230,Rudersdal,Hovedstaden,1
240,Egedal,Hovedstaden,1
250,Frederikssund,Hovedstaden,1
260,Halsnæs,Hovedstaden,1
270,Gribskov,Hovedstaden,1
400,Bornholm,Hovedstaden,1
411,Christiansø,Hovedstaden,1
615,Horsens,Midtjylland,2
657,Herning,Midtjylland,2
661,Holstebro,Midtjylland,2
665,Lemvig,Midtjylland,2
671,Struer,Midtjylland,2
706,Syddjurs,Midtjylland,2
707,Norddjurs,Midtjylland,2
710,Favrskov,Midtjylland,2
727,Odder,Midtjylland,2
730,Randers,Midtjylland,2
740,Silkeborg,Midtjylland,2
741,Samsø,Midtjylland,2
746,Skanderborg,Midtjylland,2
751,Aarhus,Midtjylland,2
756,Ikast-Brande,Midtjylland,2
760,Ringkøbing-Skjern,Midtjylland,2
766,Hedensted,Midtjylland,2
779,Skive,Midtjylland,2
791,Viborg,Midtjylland,2
773,Morsø,Nordjylland,3
787,Thisted,Nordjylland,3
810,Brønderslev,Nordjylland,3
813,Frederikshavn,Nordjylland,3
820,Vesthimmerlands,Nordjylland,3
825,Læsø,Nordjylland,3
840,Rebild,Nordjylland,3
846,Mariagerfjord,Nordjylland,3
849,Jammerbugt,Nordjylland,3
851,Aalborg,Nordjylland,3
860,Hjørring,Nordjylland,3
253,Greve,Sjælland,4
259,Køge,Sjælland,4
265,Roskilde,Sjælland,4
269,Solrød,Sjælland,4
306,Odsherred,Sjælland,4
316,Holbæk,Sjælland,4
320,Faxe,Sjælland,4
326,Kalundborg,Sjælland,4
329,Ringsted,Sjælland,4
330,Slagelse,Sjælland,4
336,Stevns,Sjælland,4
340,Sorø,Sjælland,4
350,Lejre,Sjælland,4
360,Lolland,Sjælland,4
370,Næstved,Sjælland,4
376,Guldborgsund,Sjælland,4
390,Vordingborg,Sjælland,4
410,Middelfart,Syddanmark,5
420,Assens,Syddanmark,5
430,Faaborg-Midtfyn,Syddanmark,5
440,Kerteminde,Syddanmark,5
450,Nyborg,Syddanmark,5
461,Odense,Syddanmark,5
479,Svendborg,Syddanmark,5
480,Nordfyns,Syddanmark,5
482,Langeland,Syddanmark,5
492,Ærø,Syddanmark,5
510,Haderslev,Syddanmark,5
530,Billund,Syddanmark,5
540,Sønderborg,Syddanmark,5
550,Tønder,Syddanmark,5
561,Esbjerg,Syddanmark,5
563,Fanø,Syddanmark,5
573,Varde,Syddanmark,5
575,Vejen,Syddanmark,5
580,Aabenraa,Syddanmark,5
607,Fredericia,Syddanmark,5
621,Kolding,Syddanmark,5
630,Vejle,Syddanmark,5
9,unknown,unknown,9
